瘤痢,斥档,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公
措傈,2019,2019-11-03,11老,2019-11-08,7老, , , , , , ,2019-10-28,3老,2019-11-13,10老, , , , , , 
措傈,2020,2020-10-27,4老,2020-11-03,2老, , , , , , ,2020-10-30,5老,2020-11-10,7老, , , , , , 
措傈,2021,2021-11-01,9老,2021-11-09,8老, , , , , , ,2021-11-05,11老,2021-11-11,8老, , , , , , 
措傈,2022,2022-10-23,0老,2022-10-29,-3老, , , , , , ,2022-10-29,4老,2022-11-10,7老, , , , , , 
措傈,2023,2023-10-26,3老,2023-11-04,3老, , , , , , ,2023-10-31,6老,2023-11-15,12老, , , , , , 
何魂,1989,1989-10-18,-14老,1989-11-08,-5老, , ,1989-11-12, ,1989-11-25, ,1989-10-22,-11老,1989-11-15,-2老, , ,1989-11-20, ,1989-12-05, 
何魂,1990,搬螟,—,搬螟,—, , ,搬螟,—,搬螟,—,搬螟,—,搬螟,—, , ,搬螟,—,搬螟,—
何魂,1991,1991-10-14,-18老,1991-10-19,-25老, , , , , , ,1991-10-14,-19老,1991-10-19,-29老, , , , , , 
何魂,1992,1992-10-24,-8老, , , , , , , , ,1992-10-24,-9老, , , , , , , , 
何魂,1993,1993-10-23,-9老, , , , , , , , ,1993-10-13,-20老, , , , , , , , 
何魂,1994,1994-10-26,-6老,1994-11-01,-12老, , ,1994-11-06, , , ,1994-10-26,-7老,1994-11-01,-16老, , ,1994-11-06, , , 
何魂,1995,1995-11-02,1老,1995-11-17,4老, , , , , , ,1995-11-01,-1老,1995-11-19,2老, , , , , , 
何魂,1996,1996-10-30,-2老,1996-11-13,0老, , , , , , ,1996-11-04,2老,1996-11-19,2老, , , , , , 
何魂,1997,1997-10-31,-1老,1997-11-08,-5老, , , , , , ,1997-10-30,-3老,1997-11-07,-10老, , , , , , 
何魂,1998,1998-11-15,14老,1998-11-18,5老, , , , , , ,1998-11-07,5老,1998-11-30,13老, , , , , , 
何魂,1999,1999-11-09,8老,1999-11-16,3老, , , , , , ,1999-11-08,6老,1999-11-22,5老, , , , , , 
何魂,2000,2000-10-30,-2老,2000-11-14,1老, , , , , , ,2000-11-01,-1老,2000-11-17,0老, , , , , , 
何魂,2001,2001-10-30,-2老,2001-11-11,-2老, , , , , , ,2001-11-01,-1老,2001-11-14,-3老, , , , , , 
何魂,2002,2002-10-31,-1老,2002-11-16,3老, , , , , , ,2002-10-31,-2老,2002-11-16,-1老, , , , , , 
何魂,2003,2003-11-01,0老,2003-11-15,2老, , , , , , ,2003-11-01,-1老,2003-11-15,-2老, , , , , , 
何魂,2004,2004-11-02,1老,2004-11-16,3老, , , , , , ,2004-11-03,1老,2004-11-18,1老, , , , , , 
何魂,2005,2005-11-02,1老,2005-11-17,4老, , , , , , ,2005-11-02,0老,2005-11-20,3老, , , , , , 
何魂,2006,2006-11-14,13老,2006-11-24,11老, , , , , , ,2006-11-17,15老,2006-11-30,13老, , ,2006-11-17, , , 
何魂,2007,2007-11-05,4老,2007-11-19,6老, , , , , , ,2007-11-01,-1老,2007-11-18,1老, , , , , , 
何魂,2008,2008-10-31,-1老,2008-11-14,1老, , , , , , ,2008-10-31,-2老,2008-11-14,-3老, , , , , , 
何魂,2009,2009-10-31,-1老,2009-11-06,-7老, , , , , , ,2009-11-05,3老,2009-11-12,-5老, , , , , , 
何魂,2010,2010-10-25,-7老,2010-11-03,-10老, , , , , , ,2010-10-30,-3老,2010-11-07,-10老, , , , , , 
何魂,2011,2011-10-25,-7老,2011-11-06,-7老, , , , , , ,2011-10-29,-4老,2011-11-10,-7老, , , , , , 
何魂,2012,2012-11-01,0老,2012-11-09,-4老, , , , , , ,2012-11-03,1老,2012-11-10,-7老, , , , , , 
何魂,2013,2013-11-02,1老,2013-11-13,0老, , , , , , ,2013-11-03,1老,2013-11-15,-2老, , , , , , 
何魂,2014,2014-10-30,-2老,2014-11-09,-4老, , , , , , ,2014-11-02,0老,2014-11-13,-4老, , , , , , 
何魂,2015,2015-10-31,-1老,2015-11-12,-1老, , , , , , ,2015-11-01,-1老,2015-11-16,-1老, , , , , , 
何魂,2016,2016-10-30,-2老,2016-11-14,1老, , , , , , ,2016-11-01,-1老,2016-11-15,-2老, , , , , , 
何魂,2017,2017-10-31,-1老,2017-11-22,9老, , , , , , ,2017-11-11,9老,2017-11-30,13老, , , , , , 
何魂,2018,2018-11-01,0老,2018-11-22,9老, , , , , , ,2018-11-15,13老,2018-11-30,13老, , , , , , 
何魂,2019,2019-11-04,3老,2019-11-19,6老, , , , , , ,2019-11-12,10老,2019-11-26,9老, , , , , , 
何魂,2020,2020-11-06,5老,2020-11-15,2老, , , , , , ,2020-11-14,12老,2020-11-23,6老, , , , , , 
何魂,2021,2021-11-09,8老,2021-11-15,2老, , , , , , ,2021-11-06,4老,2021-11-15,-2老, , , , , , 
何魂,2022,2022-11-09,8老,2022-11-25,12老, , , , , , ,2022-11-07,5老,2022-11-25,8老, , , , , , 
何魂,2023,2023-11-05,4老,2023-11-23,10老, , , , , , ,2023-11-07,5老,2023-11-30,13老, , , , , , 
辑匡,1989,1989-09-29,-27老,1989-10-10,-24老, , ,1989-10-10, ,1989-10-30, ,1989-10-14,-14老,1989-10-19,-20老, , ,1989-10-23, ,1989-11-10, 
辑匡,1990,1990-10-07,-19老,1990-10-21,-13老, , ,1990-10-18, ,1990-11-04, ,1990-10-20,-8老,1990-10-30,-9老, , ,1990-10-29, ,1990-11-20, 
辑匡,1991,1991-10-10,-16老,1991-10-23,-11老, , ,1991-10-20, ,1991-11-14, ,1991-10-21,-7老,1991-10-31,-8老, , ,1991-11-03, ,1991-11-24, 
辑匡,1992,1992-11-06,11老,1992-11-10,7老, , ,1992-11-15, ,1992-11-18, ,1992-11-06,9老,1992-11-10,2老, , ,1992-11-19, ,1992-11-22, 
辑匡,1993,1993-10-19,-7老,1993-10-23,-11老, , ,1993-10-30, ,1993-11-12, ,1993-10-30,2老,1993-11-05,-3老, , ,1993-11-12, ,1993-11-17, 
辑匡,1994,1994-10-28,2老,1994-11-04,1老, , , , , , ,1994-10-29,1老,1994-11-06,-2老, , , , , , 
辑匡,1995,1995-10-29,3老,1995-11-05,2老, , , , , , ,1995-10-31,3老,1995-11-08,0老, , , , , , 
辑匡,1996,1996-10-23,-3老,1996-10-30,-4老, , , , , , ,1996-10-23,-5老,1996-10-30,-9老, , , , , , 
辑匡,1997,1997-10-21,-5老,1997-10-29,-5老, , , , , , ,1997-10-23,-5老,1997-10-30,-9老, , , , , , 
辑匡,1998,1998-11-05,10老,1998-11-13,10老, , , , , , ,1998-11-06,9老,1998-11-13,5老, , , , , , 
辑匡,1999,1999-10-27,1老,1999-11-03,0老, , , , , , ,1999-10-29,1老,1999-11-06,-2老, , , , , , 
辑匡,2000,2000-11-01,6老,2000-11-08,5老, , , , , , ,2000-11-03,6老,2000-11-10,2老, , , , , , 
辑匡,2001,2001-11-03,8老,2001-11-12,9老, , , , , , ,2001-11-05,8老,2001-11-13,5老, , , , , , 
辑匡,2002,2002-11-03,8老,2002-11-09,6老, , , , , , ,2002-11-03,6老,2002-11-11,3老, , , , , , 
辑匡,2003,2003-10-27,1老,2003-11-03,0老, , , , , , ,2003-10-27,-1老,2003-11-05,-3老, , , , , , 
辑匡,2004,2004-10-23,-3老,2004-11-08,5老, , , , , , ,2004-10-23,-5老,2004-11-09,1老, , , , , , 
辑匡,2005,2005-10-27,1老,2005-11-06,3老, , , , , , ,2005-10-23,-5老,2005-11-04,-4老, , , , , , 
辑匡,2006,2006-10-23,-3老,2006-11-03,0老, , , , , , ,2006-10-30,2老,2006-11-17,9老, , , , , , 
辑匡,2007,2007-10-23,-3老,2007-11-02,-1老, , , , , , ,2007-11-01,4老,2007-11-09,1老, , , , , , 
辑匡,2008,2008-10-19,-7老,2008-10-25,-9老, , , , , , ,2008-11-02,5老,2008-11-06,-2老, , , , , , 
辑匡,2009,2009-10-27,1老,2009-10-31,-3老, , , , , , ,2009-10-31,3老,2009-11-09,1老, , , , , , 
辑匡,2010,2010-10-19,-7老,2010-10-30,-4老, , , , , , ,2010-10-26,-2老,2010-11-05,-3老, , , , , , 
辑匡,2011,2011-10-21,-5老,2011-10-26,-8老, , , , , , ,2011-10-24,-4老,2011-11-12,4老, , , , , , 
辑匡,2012,2012-10-21,-5老,2012-10-30,-4老, , , , , , ,2012-10-25,-3老,2012-11-08,0老, , , , , , 
辑匡,2013,2013-10-23,-3老,2013-11-01,-2老, , , , , , ,2013-10-30,2老,2013-11-15,7老, , , , , , 
辑匡,2014,2014-10-23,-3老,2014-10-31,-3老, , , , , , ,2014-10-27,-1老,2014-11-07,-1老, , , , , , 
辑匡,2015,2015-10-21,-5老,2015-11-10,7老, , , , , , ,2015-11-01,4老,2015-11-06,-2老, , , , , , 
辑匡,2016,2016-10-18,-8老,2016-10-31,-3老, , , , , , ,2016-10-20,-8老,2016-11-04,-4老, , , , , , 
辑匡,2017,2017-10-20,-6老,2017-10-30,-4老, , , , , , ,2017-10-24,-4老,2017-11-08,0老, , , , , , 
辑匡,2018,2018-10-25,-1老,2018-11-03,0老, , , , , , ,2018-10-22,-6老,2018-11-04,-4老, , , , , , 
辑匡,2019,2019-11-01,6老,2019-11-13,10老, , , , , , ,2019-10-14,-14老,2019-11-07,-1老, , , , , , 
辑匡,2020,2020-11-01,6老,2020-11-09,6老, , , , , , ,2020-10-19,-9老,2020-11-08,0老, , , , , , 
辑匡,2021,2021-11-07,12老,2021-11-14,11老, , , , , , ,2021-10-22,-6老,2021-11-05,-3老, , , , , , 
辑匡,2022,2022-11-05,10老,2022-11-14,11老, , , , , , ,2022-10-17,-11老,2022-11-02,-6老, , , , , , 
辑匡,2023,2023-11-05,10老,2023-11-17,14老, , , , , , ,2023-10-19,-9老,2023-11-16,8老, , , , , , 
匡魂,1990,1990-10-28,-1老,1990-11-18,9老, , ,1990-11-29, ,搬螟,—,1990-10-17,-11老,1990-10-30,-10老, , ,1990-12-02, ,搬螟,—
匡魂,1991,1991-10-13,-16老,1991-10-25,-15老, , , , , , ,1991-10-22,-6老,1991-10-31,-9老, , , , , , 
匡魂,1992,1992-10-29,0老,1992-11-04,-5老, , , , , , ,1992-10-28,0老,1992-11-06,-3老, , , , , , 
匡魂,1993,1993-10-24,-5老,1993-11-02,-7老, , , , , , ,1993-10-22,-6老,1993-11-01,-8老, , , , , , 
匡魂,1994,1994-10-22,-7老,1994-10-28,-12老, , , , , , ,1994-10-21,-7老,1994-10-28,-12老, , , , , , 
匡魂,1995,1995-10-23,-6老,1995-11-06,-3老, , , , , , ,1995-10-21,-7老,1995-11-06,-3老, , , , , , 
匡魂,1996,1996-10-29,0老,1996-11-02,-7老, , , , , , ,1996-10-25,-3老,1996-10-31,-9老, , , , , , 
匡魂,1997,1997-10-27,-2老,1997-11-01,-8老, , , , , , ,1997-10-24,-4老,1997-10-30,-10老, , , , , , 
匡魂,1998,1998-10-27,-2老,1998-11-10,1老, , , , , , ,1998-10-26,-2老,1998-11-07,-2老, , , , , , 
匡魂,1999,1999-10-29,0老,1999-11-10,1老, , , , , , ,1999-10-28,0老,1999-11-09,0老, , , , , , 
匡魂,2000,2000-10-29,0老,2000-11-12,3老, , , , , , ,2000-10-29,1老,2000-11-12,3老, , , , , , 
匡魂,2001,2001-10-30,1老,2001-11-14,5老, , , , , , ,2001-10-30,2老,2001-11-14,5老, , , , , , 
匡魂,2002,2002-10-29,0老,2002-11-13,4老, , , , , , ,2002-10-29,1老,2002-11-13,4老, , , , , , 
匡魂,2003,2003-10-30,1老,2003-11-12,3老, , , , , , ,2003-10-30,2老,2003-11-12,3老, , , , , , 
匡魂,2004,2004-11-04,6老,2004-11-20,11老, , , , , , ,2004-10-29,1老,2004-11-20,11老, , , , , , 
匡魂,2005,2005-11-01,3老,2005-11-16,7老, , , , , , ,2005-10-31,3老,2005-11-15,6老, , , , , , 
匡魂,2006,2006-11-04,6老,2006-11-17,8老, , , , , , ,2006-11-03,6老,2006-11-16,7老, , , , , , 
匡魂,2007,2007-10-30,1老,2007-11-12,3老, , , , , , ,2007-11-05,8老,2007-11-20,11老, , , , , , 
匡魂,2008,2008-10-30,1老,2008-11-12,3老, , , , , , ,2008-11-01,4老,2008-11-15,6老, , , , , , 
匡魂,2009,2009-10-30,1老,2009-11-05,-4老, , , , , , ,2009-10-30,2老,2009-11-12,3老, , , , , , 
匡魂,2010,2010-10-29,0老,2010-11-06,-3老, , , , , , ,2010-10-29,1老,2010-11-06,-3老, , , , , , 
匡魂,2011,2011-10-29,0老,2011-11-07,-2老, , , , , , ,2011-10-29,1老,2011-11-07,-2老, , , , , , 
匡魂,2012,2012-11-02,4老,2012-11-09,0老, , , , , , ,2012-11-02,5老,2012-11-09,0老, , , , , , 
匡魂,2013,2013-10-24,-5老,2013-11-04,-5老, , , , , , ,2013-10-24,-4老,2013-11-04,-5老, , , , , , 
匡魂,2014,2014-10-28,-1老,2014-11-12,3老, , , , , , ,2014-10-28,0老,2014-11-12,3老, , , , , , 
匡魂,2015,2015-10-27,-2老,2015-11-10,1老, , , , , , ,2015-10-27,-1老,2015-11-10,1老, , , , , , 
匡魂,2016,2016-11-01,3老,2016-11-12,3老, , , , , , ,2016-10-26,-2老,2016-11-09,0老, , , , , , 
匡魂,2017,2017-10-30,1老,2017-11-08,-1老, , , , , , ,2017-10-25,-3老,2017-11-05,-4老, , , , , , 
匡魂,2018,2018-10-24,-5老,2018-11-13,4老, , , , , , ,2018-10-22,-6老,2018-11-10,1老, , , , , , 
匡魂,2019,2019-11-07,9老,2019-11-16,7老, , , , , , ,2019-11-05,8老,2019-11-15,6老, , , , , , 
匡魂,2020,2020-10-29,0老,2020-11-04,-5老, , , , , , ,2020-10-28,0老,2020-11-02,-7老, , , , , , 
匡魂,2021,2021-10-29,0老,2021-11-07,-2老, , , , , , ,2021-10-29,1老,2021-11-09,0老, , , , , , 
匡魂,2022,2022-10-24,-5老,2022-11-02,-7老, , , , , , ,2022-10-24,-4老,2022-11-07,-2老, , , , , , 
匡魂,2023,2023-10-24,-5老,2023-11-07,-2老, , , , , , ,2023-10-24,-4老,2023-11-07,-2老, , , , , , 
碍拳,1990,1990-10-06,-17老,搬螟,—, , ,1990-11-01, ,搬螟,—,1990-10-08,-15老,搬螟,—, , ,1990-11-01, ,搬螟,—
碍拳,1991,1991-10-17,-6老,搬螟,—, , , , , , ,1991-10-17,-6老,搬螟,—, , , , , , 
碍拳,1992,1992-10-16,-7老, , , , , , , , ,1992-10-17,-6老, , , , , , , , 
碍拳,1993,1993-10-13,-10老, , , , , , , , ,1993-10-13,-10老, , , , , , , , 
碍拳,1994,1994-10-23,0老, , , , , , , , ,1994-10-23,0老, , , , , , , , 
碍拳,1995,1995-10-29,6老, , , , , , , , ,1995-10-29,6老, , , , , , , , 
碍拳,1996,1996-10-28,5老,1996-11-02,-2老, , , , , , ,1996-10-28,5老,1996-11-02,-2老, , , , , , 
碍拳,1997,1997-10-21,-2老,1997-10-27,-8老, , , , , , ,1997-10-21,-2老,1997-10-27,-8老, , , , , , 
碍拳,1998,1998-10-26,3老,1998-11-07,3老, , , , , , ,1998-10-26,3老,1998-11-07,3老, , , , , , 
碍拳,1999,1999-10-24,1老,1999-11-05,1老, , , , , , ,1999-10-24,1老,1999-11-05,1老, , , , , , 
碍拳,2000,2000-10-23,0老,2000-10-30,-5老, , , , , , ,2000-10-23,0老,2000-10-30,-5老, , , , , , 
碍拳,2001,2001-10-24,1老,2001-10-31,-4老, , , , , , ,2001-10-24,1老,2001-10-31,-4老, , , , , , 
碍拳,2002,2002-10-19,-4老,2002-10-30,-5老, , , , , , ,2002-10-19,-4老,2002-10-30,-5老, , , , , , 
碍拳,2003,2003-10-18,-5老,2003-11-03,-1老, , , , , , ,2003-10-18,-5老,2003-11-03,-1老, , , , , , 
碍拳,2004,2004-10-23,0老,2004-11-04,0老, , , , , , ,2004-10-23,0老,2004-11-04,0老, , , , , , 
碍拳,2005,2005-10-25,2老,2005-11-05,1老, , , , , , ,2005-10-24,1老,2005-11-04,0老, , , , , , 
碍拳,2006,2006-11-01,9老,2006-11-10,6老, , , , , , ,2006-10-29,6老,2006-11-09,5老, , , , , , 
碍拳,2007,2007-10-29,6老,2007-11-09,5老, , , , , , ,2007-10-26,3老,2007-11-07,3老, , , , , , 
碍拳,2008,2008-10-25,2老,2008-11-08,4老, , , , , , ,2008-10-21,-2老,2008-11-06,2老, , , , , , 
归飞档,2001,2001-10-28,3老,2001-11-05,1老, , , , , , ,2001-10-28,4老,2001-11-05,0老, , , , , , 
归飞档,2002,2002-10-12,-13老,2002-10-23,-12老, , , , , , ,2002-10-12,-12老,2002-10-23,-13老, , , , , , 
归飞档,2003,2003-10-20,-5老,2003-11-01,-3老, , , , , , ,2003-10-20,-4老,2003-11-02,-3老, , , , , , 
归飞档,2004,2004-10-25,0老,2004-11-10,6老, , , , , , ,2004-10-23,-1老,2004-11-06,1老, , , , , , 
归飞档,2005,2005-10-31,6老,2005-11-13,9老, , , , , , ,2005-10-30,6老,2005-11-06,1老, , , , , , 
归飞档,2006,2006-10-25,0老,2006-11-03,-1老, , , , , , ,2006-10-25,1老,2006-11-03,-2老, , , , , , 
归飞档,2007,2007-10-28,3老,2007-11-09,5老, , , , , , ,2007-10-28,4老,2007-11-09,4老, , , , , , 
归飞档,2008,2008-10-24,-1老,2008-11-12,8老, , , , , , ,2008-10-25,1老,2008-11-12,7老, , , , , , 
归飞档,2009,2009-10-27,2老,2009-11-05,1老, , , , , , ,2009-10-18,-6老,2009-11-05,0老, , , , , , 
归飞档,2010,2010-10-25,0老,2010-11-06,2老, , , , , , ,2010-10-27,3老,2010-11-06,1老, , , , , , 
归飞档,2011,2011-10-27,2老,2011-11-05,1老, , , , , , ,2011-10-25,1老,2011-11-05,0老, , , , , , 
归飞档,2012,2012-10-25,0老,2012-11-06,2老, , , , , , ,2012-10-24,0老,2012-11-05,0老, , , , , , 
归飞档,2013,2013-10-21,-4老,2013-10-28,-7老, , , , , , ,2013-10-20,-4老,2013-10-27,-9老, , , , , , 
归飞档,2014,2014-10-18,-7老,2014-10-26,-9老, , , , , , ,2014-10-18,-6老,2014-10-24,-12老, , , , , , 
归飞档,2015,2015-10-25,0老,2015-11-06,2老, , , , , , ,2015-10-24,0老,2015-11-05,0老, , , , , , 
归飞档,2016,2016-10-23,-2老,2016-10-29,-6老, , , , , , ,2016-10-21,-3老,2016-10-27,-9老, , , , , , 
归飞档,2017,2017-10-27,2老,2017-11-08,4老, , , , , , ,2017-10-25,1老,2017-11-06,1老, , , , , , 
归飞档,2018,2018-10-24,-1老,2018-10-31,-4老, , , , , , ,2018-10-22,-2老,2018-11-03,-2老, , , , , , 
归飞档,2019,2019-10-23,-2老,2019-11-02,-2老, , , , , , ,2019-10-29,5老,2019-11-20,15老, , , , , , 
归飞档,2020,2020-10-24,-1老,2020-11-05,1老, , , , , , ,2020-10-27,3老,2020-11-13,8老, , , , , , 
归飞档,2021,2021-10-24,-1老,2021-11-10,6老, , , , , , ,2021-10-20,-4老,2021-11-03,-2老, , , , , , 
归飞档,2022,2022-10-28,3老,2022-11-12,8老, , , , , , ,2022-10-20,-4老,2022-11-02,-3老, , , , , , 
归飞档,2023,2023-11-03,9老,2023-11-20,16老, , , , , , ,2023-10-26,2老,2023-11-17,12老, , , , , , 
牢玫,1977,1977-10-22,-4老, , , , ,1977-11-12, , , ,1977-10-22,-6老, , , , ,1977-11-14, , , 
牢玫,1978,1978-10-17,-9老, , , , ,1978-11-03, , , ,1978-10-23,-5老, , , , ,1978-11-07, , , 
牢玫,1979,1979-10-19,-7老, , , , ,1979-11-02, , , ,1979-10-26,-2老, , , , ,1979-11-14, , , 
牢玫,1989,1989-10-26,0老,1989-11-01,-5老, , ,1989-11-04, ,1989-11-12, ,1989-11-01,4老,1989-11-10,1老, , ,1989-11-13, ,1989-11-21, 
牢玫,1990,1990-11-01,6老,1990-11-06,0老, , ,1990-11-08, ,1990-11-16, ,1990-11-01,4老,1990-11-09,0老, , ,1990-11-14, ,1990-11-20, 
牢玫,1991,1991-10-26,0老,1991-11-01,-5老, , ,1991-11-08, ,1991-11-21, ,1991-10-28,0老,1991-11-06,-3老, , ,1991-11-12, ,1991-11-24, 
牢玫,1992,1992-10-22,-4老,1992-10-26,-11老, , ,1992-11-03, ,1992-11-20, ,1992-10-25,-3老,1992-10-27,-13老, , ,1992-11-04, ,1992-11-22, 
牢玫,1993,1993-10-25,-1老,1993-11-14,8老, , ,1993-11-14, ,1993-11-27, ,1993-10-31,3老,1993-11-08,-1老, , ,1993-11-15, ,1993-11-27, 
牢玫,1994,1994-10-28,2老,1994-11-06,0老, , ,1994-11-12, ,1994-11-20, ,1994-11-01,4老,1994-11-08,-1老, , ,1994-11-13, ,1994-11-26, 
牢玫,1995,1995-10-25,-1老,1995-11-05,-1老, , , , , , ,1995-10-31,3老,1995-11-07,-2老, , , , , , 
牢玫,1996,1996-10-15,-11老,1996-11-01,-5老, , , , , , ,1996-10-29,1老,1996-11-06,-3老, , , , , , 
牢玫,1997,1997-10-13,-13老,1997-11-01,-5老, , , , , , ,1997-10-17,-11老,1997-11-03,-6老, , , , , , 
牢玫,1998,1998-10-27,1老,1998-11-11,5老, , , , , , ,1998-10-31,3老,1998-11-14,5老, , , , , , 
牢玫,1999,1999-10-24,-2老,1999-11-06,0老, , , , , , ,1999-10-27,-1老,1999-11-08,-1老, , , , , , 
牢玫,2000,2000-11-01,6老,2000-11-07,1老, , , , , , ,2000-11-02,5老,2000-11-09,0老, , , , , , 
牢玫,2001,2001-11-01,6老,2001-11-10,4老, , , , , , ,2001-11-03,6老,2001-11-12,3老, , , , , , 
牢玫,2002,2002-10-30,4老,2002-11-06,0老, , , , , , ,2002-10-31,3老,2002-11-07,-2老, , , , , , 
牢玫,2003,2003-10-27,1老,2003-11-06,0老, , , , , , ,2003-10-28,0老,2003-11-07,-2老, , , , , , 
牢玫,2004,2004-10-22,-4老,2004-11-08,2老, , , , , , ,2004-10-24,-4老,2004-11-09,0老, , , , , , 
牢玫,2005,2005-10-24,-2老,2005-11-02,-4老, , , , , , ,2005-10-25,-3老,2005-11-03,-6老, , , , , , 
牢玫,2006,2006-10-30,4老,2006-11-08,2老, , , , , , ,2006-11-02,5老,2006-11-11,2老, , , , , , 
牢玫,2007,2007-10-24,-2老,2007-11-04,-2老, , , , , , ,2007-11-02,5老,2007-11-10,1老, , , , , , 
牢玫,2008,2008-10-20,-6老,2008-11-01,-5老, , , , , , ,2008-10-31,3老,2008-11-03,-6老, , , , , , 
牢玫,2009,2009-10-29,3老,2009-11-05,-1老, , , , , , ,2009-11-09,12老,2009-11-26,17老, , , , , , 
牢玫,2010,2010-10-30,4老,2010-11-07,1老, , , , , , ,2010-10-31,3老,2010-11-10,1老, , , , , , 
牢玫,2011,2011-10-28,2老,2011-11-07,1老, , , , , , ,2011-10-27,-1老,2011-11-08,-1老, , , , , , 
牢玫,2012, , , , , , , , , , ,2012-11-02,5老,2012-11-12,3老, , , , , , 
牢玫,2013,2013-11-07,12老,2013-11-15,9老, , , , , , ,2013-11-05,8老,2013-11-18,9老, , , , , , 
牢玫,2014,2014-10-23,-3老,2014-11-05,-1老, , , , , , ,2014-10-28,0老,2014-11-07,-2老, , , , , , 
牢玫,2015,2015-10-19,-7老,2015-11-05,-1老, , , , , , ,2015-10-16,-12老,2015-11-04,-5老, , , , , , 
牢玫,2016,2016-10-26,0老,2016-11-04,-2老, , , , , , ,2016-10-15,-13老,2016-11-07,-2老, , , , , , 
牢玫,2017,2017-10-25,-1老,2017-11-03,-3老, , , , , , ,2017-10-19,-9老,2017-11-06,-3老, , , , , , 
牢玫,2018,2018-10-26,0老,2018-11-07,1老, , , , , , ,2018-10-20,-8老,2018-11-05,-4老, , , , , , 
牢玫,2019,2019-11-02,7老,2019-11-13,7老, , , , , , ,2019-10-21,-7老,2019-11-08,-1老, , , , , , 
牢玫,2020,2020-10-27,1老,2020-11-09,3老, , , , , , ,2020-10-22,-6老,2020-11-06,-3老, , , , , , 
牢玫,2021,2021-10-30,4老,2021-11-08,2老, , , , , , ,2021-10-26,-2老,2021-11-04,-5老, , , , , , 
牢玫,2022,2022-10-25,-1老,2022-11-10,4老, , , , , , ,2022-10-25,-3老,2022-11-07,-2老, , , , , , 
牢玫,2023,2023-10-23,-3老,2023-10-30,-7老, , , , , , ,2023-10-25,-3老,2023-11-16,7老, , , , , , 
绊蕊,1989,1989-10-21,-8老,1989-10-27,-13老, , ,1989-11-07, ,1989-11-18, ,1989-10-23,-7老,1989-10-31,-10老, , ,1989-11-10, ,1989-11-21, 
绊蕊,1990,1990-10-23,-6老,1990-10-29,-11老, , ,1990-11-09, ,1990-11-20, ,1990-10-24,-6老,1990-10-31,-10老, , ,1990-11-12, ,1990-11-23, 
绊蕊,1991,1991-10-22,-7老,1991-10-27,-13老, , , , , , ,1991-10-21,-9老,1991-10-29,-12老, , , , , , 
绊蕊,1992,1992-10-25,-4老,1992-10-30,-10老, , , , , , ,1992-10-26,-4老,1992-10-31,-10老, , , , , , 
绊蕊,1993,1993-10-26,-3老,1993-11-03,-6老, , , , , , ,1993-10-26,-4老,1993-11-03,-7老, , , , , , 
绊蕊,1994,1994-10-22,-7老,1994-11-03,-6老, , , , , , ,1994-10-23,-7老,1994-11-04,-6老, , , , , , 
绊蕊,1995,1995-11-02,4老,1995-11-11,2老, , , , , , ,1995-11-04,5老,1995-11-12,2老, , , , , , 
绊蕊,1996,1996-10-28,-1老,1996-11-11,2老, , , , , , ,1996-10-29,-1老,1996-11-15,5老, , , , , , 
绊蕊,1997,1997-10-24,-5老, , , , , , , , ,1997-10-27,-3老, , , , , , , , 
绊蕊,1998,1998-11-01,3老,1998-11-13,4老, , , , , , ,1998-11-01,2老,1998-11-13,3老, , , , , , 
绊蕊,1999,1999-11-03,5老,1999-11-15,6老, , , , , , ,1999-11-03,4老,1999-11-15,5老, , , , , , 
绊蕊,2000,2000-11-06,8老,2000-11-18,9老, , , , , , ,2000-11-06,7老,2000-11-18,8老, , , , , , 
绊蕊,2001,2001-11-06,8老,2001-11-18,9老, , , , , , ,2001-11-05,6老,2001-11-18,8老, , , , , , 
绊蕊,2002,2002-10-28,-1老,2002-11-08,-1老, , , , , , ,2002-10-30,0老,2002-11-06,-4老, , , , , , 
绊蕊,2003,2003-10-27,-2老,2003-11-05,-4老, , , , , , ,2003-10-29,-1老,2003-11-06,-4老, , , , , , 
绊蕊,2004,2004-10-28,-1老,2004-11-08,-1老, , , , , , ,2004-10-29,-1老,2004-11-12,2老, , , , , , 
绊蕊,2005,2005-10-26,-3老,2005-11-10,1老, , , , , , ,2005-10-28,-2老,2005-11-11,1老, , , , , , 
绊蕊,2006,2006-10-25,-4老,2006-11-07,-2老, , , , , , ,2006-10-26,-4老,2006-11-10,0老, , , , , , 
绊蕊,2007,2007-10-29,0老,2007-11-10,1老, , , , , , ,2007-10-30,0老,2007-11-12,2老, , , , , , 
格器,1989,1989-10-23,-8老,1989-10-29,-12老, , ,搬螟,—,搬螟,—,1989-10-13,-17老,1989-10-20,-21老, , ,搬螟,—,搬螟,—
格器,1990,1990-10-26,-5老,搬螟,—, , ,搬螟,—,1990-11-26, ,1990-10-23,-7老,搬螟,—, , ,搬螟,—,1990-11-21, 
格器,1991,1991-10-15,-16老,1991-10-23,-18老, , , , , , ,1991-10-17,-13老,1991-10-24,-17老, , , , , , 
